,embalaje,largo,alto,ancho,peso,procedencia,manipulacion,temperatura,protocolo
4192,C,10,9,9,162.0,B,normal,refrigerado,Protocolo_1
4193,A,50,46,49,22540.0,B,fragil,normal,Protocolo_2
4194,B,75,80,79,94800.0,D,normal,refrigerado,Protocolo_1
4195,B,75,79,79,93615.0,B,normal,refrigerado,Protocolo_1
4196,B,75,77,77,88935.0,B,normal,refrigerado,Protocolo_1
4197,C,10,5,10,100.0,C,fragil,normal,Protocolo_1
4198,B,75,79,77,91245.0,D,normal,normal,Protocolo_1
4199,A,50,47,54,25380.0,D,fragil,normal,Protocolo_2
4200,A,50,54,48,25920.0,C,normal,normal,Protocolo_1
4201,B,75,75,76,85500.0,D,normal,refrigerado,Protocolo_1
4202,A,50,53,54,28620.0,D,normal,normal,Protocolo_1
4203,C,10,11,13,286.0,C,normal,refrigerado,Protocolo_1
4204,B,75,73,71,77745.0,A,normal,refrigerado,Protocolo_1
4205,A,50,53,53,28090.0,A,fragil,normal,Protocolo_2
4206,B,75,79,76,90060.0,B,normal,normal,Protocolo_1
4207,A,50,48,55,26400.0,B,normal,normal,Protocolo_1
4208,B,75,76,76,86640.0,C,normal,normal,Protocolo_1
4209,B,75,70,74,77700.0,B,normal,normal,Protocolo_1
4210,A,50,54,52,28080.0,B,fragil,normal,Protocolo_2
4211,C,10,5,5,50.0,B,normal,normal,Protocolo_1
4212,C,10,6,12,144.0,A,normal,refrigerado,Protocolo_1
4213,C,10,10,10,200.0,A,normal,normal,Protocolo_1
4214,C,10,9,10,180.0,B,fragil,normal,Protocolo_1
4215,B,75,77,74,85470.0,C,normal,normal,Protocolo_1
4216,B,75,79,71,84135.0,C,normal,normal,Protocolo_1
4217,B,75,72,80,86400.0,B,fragil,refrigerado,Protocolo_1
4218,B,75,76,77,87780.0,D,normal,normal,Protocolo_1
4219,C,10,13,7,182.0,C,normal,refrigerado,Protocolo_1
4220,B,75,72,72,77760.0,A,normal,normal,Protocolo_1
4221,B,75,75,79,88875.0,B,normal,normal,Protocolo_1
4222,B,75,77,74,85470.0,C,normal,refrigerado,Protocolo_1
4223,A,50,51,49,24990.0,C,normal,refrigerado,Protocolo_1
4224,C,10,6,13,156.0,B,fragil,normal,Protocolo_1
4225,A,50,45,51,22950.0,A,fragil,normal,Protocolo_2
4226,B,75,80,75,90000.0,C,normal,normal,Protocolo_1
4227,A,50,52,47,24440.0,D,normal,normal,Protocolo_1
4228,C,10,8,5,80.0,A,normal,normal,Protocolo_1
4229,B,75,74,79,87690.0,B,normal,refrigerado,Protocolo_1
4230,B,75,79,74,87690.0,A,normal,normal,Protocolo_1
4231,C,10,6,7,84.0,B,normal,normal,Protocolo_1
4232,C,10,6,10,120.0,C,normal,normal,Protocolo_1
4233,C,10,10,11,220.0,D,normal,normal,Protocolo_1
4234,C,10,10,9,180.0,D,normal,normal,Protocolo_1
4235,C,10,14,15,420.0,C,normal,refrigerado,Protocolo_1
4236,B,75,76,75,85500.0,D,normal,normal,Protocolo_1
4237,B,75,77,74,85470.0,D,normal,normal,Protocolo_1
4238,C,10,5,9,90.0,B,fragil,refrigerado,Protocolo_1
4239,A,50,46,50,23000.0,C,normal,normal,Protocolo_1
4240,C,10,14,9,252.0,D,normal,normal,Protocolo_1
4241,B,75,74,71,78810.0,A,normal,normal,Protocolo_1
4242,A,50,50,55,27500.0,B,fragil,refrigerado,Protocolo_1
4243,A,50,50,48,24000.0,A,fragil,normal,Protocolo_2
4244,C,10,9,14,252.0,B,normal,normal,Protocolo_1
4245,C,10,9,9,162.0,B,normal,normal,Protocolo_1
4246,B,75,74,73,81030.0,A,fragil,refrigerado,Protocolo_1
4247,C,10,15,8,240.0,B,normal,normal,Protocolo_1
4248,C,10,14,11,308.0,A,fragil,refrigerado,Protocolo_1
4249,C,10,9,12,216.0,C,normal,normal,Protocolo_1
4250,A,50,49,52,25480.0,B,fragil,normal,Protocolo_2
4251,C,10,15,9,270.0,D,fragil,normal,Protocolo_1
4252,B,75,77,75,86625.0,D,normal,normal,Protocolo_1
4253,A,50,47,54,25380.0,A,normal,normal,Protocolo_1
4254,B,75,75,70,78750.0,B,fragil,normal,Protocolo_2
4255,B,75,78,76,88920.0,D,fragil,normal,Protocolo_2
4256,A,50,52,50,26000.0,B,normal,normal,Protocolo_1
4257,C,10,12,5,120.0,D,normal,normal,Protocolo_1
4258,A,50,50,46,23000.0,D,normal,refrigerado,Protocolo_1
4259,C,10,10,13,260.0,B,fragil,refrigerado,Protocolo_1
4260,C,10,8,7,112.0,B,normal,normal,Protocolo_1
4261,B,75,78,71,83070.0,B,normal,normal,Protocolo_1
4262,C,10,9,9,162.0,C,normal,normal,Protocolo_1
4263,B,75,73,77,84315.0,B,normal,normal,Protocolo_1
4264,B,75,80,71,85200.0,B,normal,normal,Protocolo_1
4265,A,50,50,52,26000.0,D,fragil,refrigerado,Protocolo_1
4266,A,50,52,50,26000.0,B,fragil,refrigerado,Protocolo_1
4267,C,10,9,7,126.0,C,fragil,normal,Protocolo_1
4268,B,75,78,77,90090.0,D,normal,normal,Protocolo_1
4269,B,75,70,75,78750.0,A,normal,normal,Protocolo_1
4270,A,50,52,55,28600.0,B,normal,refrigerado,Protocolo_1
4271,B,75,78,71,83070.0,A,normal,refrigerado,Protocolo_1
4272,B,75,72,74,79920.0,A,normal,normal,Protocolo_1
4273,C,10,13,14,364.0,B,normal,refrigerado,Protocolo_1
4274,A,50,48,50,24000.0,C,fragil,normal,Protocolo_2
4275,A,50,49,49,24010.0,D,normal,normal,Protocolo_1
4276,B,75,75,77,86625.0,A,normal,normal,Protocolo_1
4277,A,50,47,52,24440.0,C,normal,refrigerado,Protocolo_1
4278,C,10,10,6,120.0,B,fragil,normal,Protocolo_1
4279,B,75,73,80,87600.0,B,normal,normal,Protocolo_1
4280,B,75,75,78,87750.0,C,normal,normal,Protocolo_1
4281,C,10,5,11,110.0,A,normal,normal,Protocolo_1
4282,B,75,71,80,85200.0,B,normal,refrigerado,Protocolo_1
4283,A,50,54,50,27000.0,A,normal,normal,Protocolo_1
4284,A,50,46,47,21620.0,D,normal,normal,Protocolo_1
4285,B,75,72,79,85320.0,C,normal,normal,Protocolo_1
4286,A,50,52,47,24440.0,D,normal,refrigerado,Protocolo_1
4287,B,75,77,72,83160.0,A,fragil,normal,Protocolo_2
4288,A,50,46,55,25300.0,C,normal,normal,Protocolo_1
4289,A,50,51,54,27540.0,A,normal,normal,Protocolo_1
4290,C,10,12,13,312.0,C,normal,refrigerado,Protocolo_1
4291,C,10,9,15,270.0,B,fragil,normal,Protocolo_1
4292,B,75,79,72,85320.0,D,normal,refrigerado,Protocolo_1
4293,C,10,9,9,162.0,D,fragil,normal,Protocolo_1
4294,A,50,47,48,22560.0,B,fragil,refrigerado,Protocolo_1
4295,B,75,74,71,78810.0,C,fragil,refrigerado,Protocolo_1
4296,C,10,12,15,360.0,A,fragil,refrigerado,Protocolo_1
4297,C,10,13,12,312.0,D,normal,normal,Protocolo_1
4298,B,75,79,73,86505.0,C,fragil,normal,Protocolo_2
4299,B,75,71,72,76680.0,D,fragil,normal,Protocolo_2
4300,B,75,75,78,87750.0,C,normal,normal,Protocolo_1
4301,C,10,10,12,240.0,A,fragil,normal,Protocolo_1
4302,A,50,51,48,24480.0,B,normal,normal,Protocolo_1
4303,A,50,55,51,28050.0,D,normal,refrigerado,Protocolo_1
4304,A,50,46,48,22080.0,D,fragil,refrigerado,Protocolo_1
4305,B,75,71,75,79875.0,B,normal,normal,Protocolo_1
4306,C,10,6,5,60.0,B,normal,refrigerado,Protocolo_1
4307,B,75,72,75,81000.0,C,normal,normal,Protocolo_1
4308,A,50,50,48,24000.0,C,fragil,normal,Protocolo_2
4309,C,10,9,10,180.0,A,normal,normal,Protocolo_1
4310,A,50,45,52,23400.0,A,normal,refrigerado,Protocolo_1
4311,B,75,71,77,82005.0,D,fragil,refrigerado,Protocolo_1
4312,B,75,74,78,86580.0,B,normal,normal,Protocolo_1
4313,A,50,52,46,23920.0,C,fragil,normal,Protocolo_2
4314,C,10,9,9,162.0,D,normal,refrigerado,Protocolo_1
4315,C,10,8,8,128.0,A,fragil,normal,Protocolo_1
4316,A,50,48,46,22080.0,D,fragil,normal,Protocolo_2
4317,A,50,50,45,22500.0,A,fragil,normal,Protocolo_2
4318,C,10,8,14,224.0,A,fragil,normal,Protocolo_1
4319,C,10,9,10,180.0,D,normal,refrigerado,Protocolo_1
4320,C,10,14,10,280.0,C,normal,normal,Protocolo_1
4321,B,75,80,71,85200.0,A,normal,normal,Protocolo_1
4322,B,75,76,73,83220.0,B,normal,normal,Protocolo_1
4323,A,50,49,49,24010.0,C,normal,refrigerado,Protocolo_1
4324,A,50,52,50,26000.0,B,fragil,normal,Protocolo_2
4325,C,10,9,5,90.0,A,normal,normal,Protocolo_1
4326,A,50,50,51,25500.0,C,normal,normal,Protocolo_1
4327,B,75,78,78,91260.0,A,normal,normal,Protocolo_1
4328,C,10,12,12,288.0,C,fragil,normal,Protocolo_1
4329,B,75,72,76,82080.0,A,normal,refrigerado,Protocolo_1
4330,A,50,51,55,28050.0,B,fragil,normal,Protocolo_2
4331,B,75,73,71,77745.0,D,fragil,refrigerado,Protocolo_1
4332,A,50,51,47,23970.0,D,normal,normal,Protocolo_1
4333,C,10,7,8,112.0,A,normal,normal,Protocolo_1
4334,C,10,13,10,260.0,A,fragil,normal,Protocolo_1
4335,A,50,46,48,22080.0,B,normal,refrigerado,Protocolo_1
4336,C,10,15,12,360.0,A,normal,refrigerado,Protocolo_1
4337,A,50,47,48,22560.0,C,normal,normal,Protocolo_1
4338,A,50,50,50,25000.0,C,normal,normal,Protocolo_1
4339,C,10,5,13,130.0,D,normal,normal,Protocolo_1
4340,A,50,45,54,24300.0,B,normal,normal,Protocolo_1
4341,B,75,75,70,78750.0,D,normal,normal,Protocolo_1
4342,B,75,72,80,86400.0,A,normal,refrigerado,Protocolo_1
4343,B,75,76,80,91200.0,A,normal,refrigerado,Protocolo_1
4344,C,10,12,12,288.0,B,normal,normal,Protocolo_1
4345,A,50,55,49,26950.0,A,fragil,normal,Protocolo_2
4346,B,75,80,74,88800.0,B,normal,refrigerado,Protocolo_1
4347,A,50,52,55,28600.0,A,fragil,normal,Protocolo_2
4348,A,50,53,46,24380.0,D,normal,refrigerado,Protocolo_1
4349,A,50,52,54,28080.0,C,normal,normal,Protocolo_1
4350,B,75,79,72,85320.0,B,normal,normal,Protocolo_1
4351,C,10,8,14,224.0,B,fragil,normal,Protocolo_1
4352,B,75,73,74,81030.0,A,normal,normal,Protocolo_1
4353,A,50,52,54,28080.0,A,normal,normal,Protocolo_1
4354,A,50,52,50,26000.0,B,normal,normal,Protocolo_1
4355,A,50,50,55,27500.0,A,normal,normal,Protocolo_1
4356,A,50,51,49,24990.0,A,normal,refrigerado,Protocolo_1
4357,C,10,5,6,60.0,A,normal,normal,Protocolo_1
4358,C,10,13,12,312.0,D,normal,normal,Protocolo_1
4359,A,50,55,51,28050.0,B,fragil,normal,Protocolo_2
4360,C,10,8,14,224.0,D,normal,normal,Protocolo_1
4361,C,10,9,11,198.0,D,fragil,normal,Protocolo_1
4362,B,75,76,70,79800.0,C,fragil,normal,Protocolo_2
4363,A,50,50,54,27000.0,D,fragil,normal,Protocolo_2
4364,A,50,55,49,26950.0,C,fragil,normal,Protocolo_2
4365,A,50,50,52,26000.0,A,normal,normal,Protocolo_1
4366,B,75,78,71,83070.0,D,fragil,normal,Protocolo_2
4367,B,75,72,71,76680.0,C,normal,normal,Protocolo_1
4368,A,50,46,46,21160.0,A,fragil,refrigerado,Protocolo_1
4369,B,75,76,76,86640.0,A,normal,normal,Protocolo_1
4370,B,75,72,75,81000.0,B,normal,normal,Protocolo_1
4371,C,10,15,14,420.0,C,fragil,refrigerado,Protocolo_1
4372,B,75,77,71,82005.0,A,normal,normal,Protocolo_1
4373,C,10,9,8,144.0,B,normal,refrigerado,Protocolo_1
4374,B,75,76,80,91200.0,D,normal,refrigerado,Protocolo_1
4375,C,10,10,10,200.0,C,fragil,normal,Protocolo_1
4376,C,10,12,10,240.0,C,normal,normal,Protocolo_1
4377,B,75,79,72,85320.0,D,normal,normal,Protocolo_1
4378,C,10,14,6,168.0,B,fragil,normal,Protocolo_1
4379,A,50,54,47,25380.0,B,normal,normal,Protocolo_1
4380,B,75,71,76,80940.0,A,normal,normal,Protocolo_1
4381,B,75,71,74,78810.0,A,normal,normal,Protocolo_1
4382,A,50,51,50,25500.0,B,fragil,normal,Protocolo_2
4383,C,10,14,10,280.0,B,normal,refrigerado,Protocolo_1
4384,C,10,10,9,180.0,C,normal,refrigerado,Protocolo_1
4385,B,75,75,73,82125.0,D,normal,normal,Protocolo_1
4386,A,50,48,48,23040.0,D,normal,normal,Protocolo_1
4387,B,75,74,77,85470.0,B,normal,refrigerado,Protocolo_1
4388,B,75,78,71,83070.0,A,normal,normal,Protocolo_1
4389,A,50,54,53,28620.0,A,normal,normal,Protocolo_1
4390,C,10,15,13,390.0,B,normal,refrigerado,Protocolo_1
4391,B,75,77,77,88935.0,B,fragil,refrigerado,Protocolo_1
4392,A,50,53,45,23850.0,C,normal,normal,Protocolo_1
4393,A,50,52,53,27560.0,D,fragil,normal,Protocolo_2
4394,C,10,6,15,180.0,D,normal,normal,Protocolo_1
4395,B,75,76,80,91200.0,C,normal,refrigerado,Protocolo_1
4396,A,50,51,55,28050.0,C,fragil,refrigerado,Protocolo_1
4397,C,10,9,10,180.0,D,normal,normal,Protocolo_1
4398,C,10,7,12,168.0,C,normal,normal,Protocolo_1
4399,B,75,78,80,93600.0,B,normal,normal,Protocolo_1
4400,A,50,50,45,22500.0,A,fragil,normal,Protocolo_2
4401,C,10,11,7,154.0,A,normal,normal,Protocolo_1
4402,B,75,75,78,87750.0,D,normal,normal,Protocolo_1
4403,A,50,51,49,24990.0,C,normal,normal,Protocolo_1
4404,A,50,54,45,24300.0,C,normal,normal,Protocolo_1
4405,C,10,6,9,108.0,D,normal,normal,Protocolo_1
4406,A,50,50,47,23500.0,A,normal,refrigerado,Protocolo_1
4407,B,75,76,72,82080.0,B,normal,normal,Protocolo_1
4408,C,10,12,8,192.0,C,normal,refrigerado,Protocolo_1
4409,B,75,74,70,77700.0,A,fragil,refrigerado,Protocolo_1
4410,B,75,75,75,84375.0,D,normal,refrigerado,Protocolo_1
4411,A,50,54,53,28620.0,B,fragil,normal,Protocolo_2
4412,B,75,70,75,78750.0,A,fragil,normal,Protocolo_2
4413,C,10,13,8,208.0,D,normal,refrigerado,Protocolo_1
4414,C,10,11,12,264.0,D,normal,normal,Protocolo_1
4415,B,75,79,71,84135.0,A,normal,normal,Protocolo_1
4416,A,50,55,48,26400.0,A,normal,normal,Protocolo_1
4417,A,50,49,47,23030.0,D,fragil,normal,Protocolo_2
4418,B,75,79,75,88875.0,C,normal,normal,Protocolo_1
4419,B,75,80,80,96000.0,D,fragil,normal,Protocolo_2
4420,A,50,49,49,24010.0,C,normal,normal,Protocolo_1
4421,B,75,75,79,88875.0,B,fragil,refrigerado,Protocolo_1
4422,C,10,12,12,288.0,A,fragil,normal,Protocolo_1
4423,C,10,13,8,208.0,D,normal,refrigerado,Protocolo_1
4424,C,10,8,13,208.0,A,fragil,normal,Protocolo_1
4425,B,75,74,75,83250.0,B,fragil,normal,Protocolo_2
4426,A,50,46,46,21160.0,C,normal,normal,Protocolo_1
4427,A,50,52,54,28080.0,D,normal,normal,Protocolo_1
4428,B,75,70,76,79800.0,B,normal,normal,Protocolo_1
4429,B,75,73,75,82125.0,C,normal,refrigerado,Protocolo_1
4430,A,50,53,45,23850.0,C,normal,normal,Protocolo_1
4431,C,10,13,15,390.0,C,normal,normal,Protocolo_1
4432,C,10,10,8,160.0,C,normal,normal,Protocolo_1
4433,C,10,9,13,234.0,A,normal,normal,Protocolo_1
4434,B,75,78,71,83070.0,B,normal,normal,Protocolo_1
4435,C,10,7,6,84.0,D,normal,normal,Protocolo_1
4436,B,75,80,76,91200.0,C,normal,normal,Protocolo_1
4437,A,50,49,48,23520.0,A,normal,normal,Protocolo_1
4438,C,10,10,10,200.0,D,normal,refrigerado,Protocolo_1
4439,B,75,73,75,82125.0,A,fragil,normal,Protocolo_2
4440,A,50,53,48,25440.0,C,normal,normal,Protocolo_1
4441,A,50,53,50,26500.0,C,normal,normal,Protocolo_1
4442,B,75,75,70,78750.0,D,fragil,refrigerado,Protocolo_1
4443,A,50,47,46,21620.0,B,normal,refrigerado,Protocolo_1
4444,C,10,15,10,300.0,C,fragil,normal,Protocolo_1
4445,B,75,74,80,88800.0,D,fragil,refrigerado,Protocolo_1
4446,A,50,53,49,25970.0,C,fragil,normal,Protocolo_2
4447,C,10,15,8,240.0,D,fragil,normal,Protocolo_1
4448,A,50,50,50,25000.0,C,normal,normal,Protocolo_1
4449,C,10,10,7,140.0,C,normal,refrigerado,Protocolo_1
4450,B,75,75,77,86625.0,B,fragil,normal,Protocolo_2
4451,C,10,5,13,130.0,D,fragil,normal,Protocolo_1
4452,B,75,78,70,81900.0,B,fragil,normal,Protocolo_2
4453,C,10,7,8,112.0,A,normal,normal,Protocolo_1
4454,B,75,77,78,90090.0,A,fragil,refrigerado,Protocolo_1
4455,A,50,55,48,26400.0,D,normal,normal,Protocolo_1
4456,B,75,75,73,82125.0,D,normal,refrigerado,Protocolo_1
4457,C,10,6,10,120.0,D,normal,normal,Protocolo_1
4458,A,50,52,55,28600.0,A,normal,normal,Protocolo_1
4459,B,75,74,79,87690.0,C,normal,normal,Protocolo_1
4460,B,75,74,72,79920.0,B,normal,normal,Protocolo_1
4461,A,50,55,54,29700.0,C,fragil,refrigerado,Protocolo_1
4462,A,50,55,48,26400.0,A,fragil,normal,Protocolo_2
4463,A,50,51,54,27540.0,D,fragil,normal,Protocolo_2
4464,B,75,80,74,88800.0,A,normal,normal,Protocolo_1
4465,A,50,46,45,20700.0,D,normal,normal,Protocolo_1
4466,B,75,74,78,86580.0,D,fragil,refrigerado,Protocolo_1
4467,C,10,10,10,200.0,B,normal,normal,Protocolo_1
4468,C,10,8,9,144.0,C,normal,normal,Protocolo_1
4469,C,10,15,10,300.0,A,fragil,normal,Protocolo_1
4470,A,50,50,53,26500.0,D,fragil,normal,Protocolo_2
4471,C,10,10,13,260.0,D,normal,normal,Protocolo_1
4472,A,50,45,55,24750.0,D,fragil,refrigerado,Protocolo_1
4473,A,50,51,50,25500.0,B,fragil,refrigerado,Protocolo_1
4474,A,50,45,49,22050.0,C,normal,normal,Protocolo_1
4475,B,75,78,73,85410.0,D,normal,normal,Protocolo_1
4476,C,10,10,5,100.0,A,fragil,refrigerado,Protocolo_1
4477,A,50,46,53,24380.0,A,normal,normal,Protocolo_1
4478,C,10,11,14,308.0,D,normal,normal,Protocolo_1
4479,C,10,7,11,154.0,C,normal,refrigerado,Protocolo_1
4480,C,10,10,14,280.0,A,normal,normal,Protocolo_1
4481,A,50,52,53,27560.0,A,fragil,normal,Protocolo_2
4482,A,50,49,47,23030.0,D,normal,normal,Protocolo_1
4483,B,75,73,79,86505.0,A,fragil,normal,Protocolo_2
4484,C,10,8,11,176.0,B,normal,refrigerado,Protocolo_1
4485,A,50,50,50,25000.0,C,normal,normal,Protocolo_1
4486,B,75,80,77,92400.0,D,fragil,refrigerado,Protocolo_1
4487,A,50,49,50,24500.0,B,fragil,refrigerado,Protocolo_1
4488,A,50,50,50,25000.0,A,normal,refrigerado,Protocolo_1
4489,C,10,12,8,192.0,A,fragil,normal,Protocolo_1
4490,B,75,79,74,87690.0,A,normal,refrigerado,Protocolo_1
4491,C,10,9,7,126.0,A,normal,normal,Protocolo_1
4492,B,75,78,76,88920.0,C,normal,normal,Protocolo_1
4493,C,10,10,7,140.0,D,normal,refrigerado,Protocolo_1
4494,B,75,79,77,91245.0,B,normal,normal,Protocolo_1
4495,B,75,70,79,82950.0,D,normal,normal,Protocolo_1
4496,C,10,9,8,144.0,D,fragil,normal,Protocolo_1
4497,C,10,10,8,160.0,A,normal,normal,Protocolo_1
4498,C,10,6,7,84.0,D,fragil,refrigerado,Protocolo_1
4499,B,75,72,77,83160.0,C,fragil,normal,Protocolo_2
4500,C,10,10,13,260.0,A,fragil,normal,Protocolo_1
4501,A,50,52,53,27560.0,D,normal,normal,Protocolo_1
4502,A,50,53,46,24380.0,C,normal,refrigerado,Protocolo_1
4503,B,75,76,73,83220.0,B,normal,normal,Protocolo_1
4504,A,50,52,48,24960.0,D,normal,normal,Protocolo_1
4505,B,75,75,78,87750.0,A,fragil,normal,Protocolo_2
4506,A,50,50,49,24500.0,D,fragil,normal,Protocolo_2
4507,B,75,78,73,85410.0,A,fragil,refrigerado,Protocolo_1
4508,B,75,75,79,88875.0,A,normal,normal,Protocolo_1
4509,B,75,75,72,81000.0,D,fragil,normal,Protocolo_2
4510,A,50,53,46,24380.0,C,fragil,normal,Protocolo_2
4511,B,75,76,70,79800.0,B,fragil,normal,Protocolo_2
4512,B,75,70,73,76650.0,D,fragil,normal,Protocolo_2
4513,C,10,8,13,208.0,B,fragil,normal,Protocolo_1
4514,C,10,7,12,168.0,C,normal,normal,Protocolo_1
4515,C,10,14,10,280.0,D,fragil,normal,Protocolo_1
4516,C,10,14,13,364.0,C,normal,normal,Protocolo_1
4517,C,10,9,7,126.0,C,normal,refrigerado,Protocolo_1
4518,A,50,49,53,25970.0,A,fragil,refrigerado,Protocolo_1
4519,C,10,6,10,120.0,D,normal,normal,Protocolo_1
4520,C,10,15,10,300.0,C,fragil,normal,Protocolo_1
4521,C,10,11,9,198.0,A,fragil,normal,Protocolo_1
4522,A,50,55,50,27500.0,A,fragil,normal,Protocolo_2
4523,A,50,45,52,23400.0,D,normal,normal,Protocolo_1
4524,A,50,48,51,24480.0,C,normal,refrigerado,Protocolo_1
4525,A,50,45,53,23850.0,D,fragil,refrigerado,Protocolo_1
4526,C,10,9,10,180.0,C,fragil,normal,Protocolo_1
4527,C,10,10,15,300.0,C,fragil,refrigerado,Protocolo_1
4528,A,50,49,53,25970.0,C,normal,refrigerado,Protocolo_1
4529,B,75,72,78,84240.0,D,fragil,normal,Protocolo_2
4530,A,50,46,47,21620.0,A,normal,normal,Protocolo_1
4531,C,10,15,11,330.0,C,normal,normal,Protocolo_1
4532,B,75,74,74,82140.0,C,normal,normal,Protocolo_1
4533,C,10,9,10,180.0,B,fragil,normal,Protocolo_1
4534,B,75,78,72,84240.0,C,fragil,normal,Protocolo_2
4535,B,75,75,71,79875.0,D,normal,refrigerado,Protocolo_1
4536,B,75,78,74,86580.0,D,fragil,normal,Protocolo_2
4537,B,75,76,77,87780.0,C,fragil,refrigerado,Protocolo_1
4538,A,50,49,48,23520.0,D,normal,normal,Protocolo_1
4539,A,50,52,49,25480.0,A,normal,normal,Protocolo_1
4540,C,10,14,13,364.0,B,fragil,normal,Protocolo_1
4541,A,50,47,51,23970.0,D,fragil,refrigerado,Protocolo_1
4542,A,50,49,46,22540.0,B,fragil,refrigerado,Protocolo_1
4543,A,50,47,54,25380.0,B,fragil,normal,Protocolo_2
4544,C,10,10,10,200.0,C,normal,normal,Protocolo_1
4545,C,10,12,12,288.0,D,fragil,normal,Protocolo_1
4546,B,75,75,76,85500.0,B,fragil,normal,Protocolo_2
4547,B,75,78,72,84240.0,C,fragil,normal,Protocolo_2
4548,A,50,52,54,28080.0,C,normal,normal,Protocolo_1
4549,A,50,51,51,26010.0,B,normal,refrigerado,Protocolo_1
4550,B,75,77,73,84315.0,C,normal,normal,Protocolo_1
4551,A,50,49,55,26950.0,B,normal,normal,Protocolo_1
4552,B,75,73,78,85410.0,A,fragil,normal,Protocolo_2
4553,C,10,5,14,140.0,D,fragil,normal,Protocolo_1
4554,A,50,49,50,24500.0,A,fragil,normal,Protocolo_2
4555,C,10,9,10,180.0,A,normal,normal,Protocolo_1
4556,A,50,54,45,24300.0,A,normal,normal,Protocolo_1
4557,A,50,50,47,23500.0,D,normal,normal,Protocolo_1
4558,C,10,8,15,240.0,B,fragil,normal,Protocolo_1
4559,B,75,74,72,79920.0,B,fragil,normal,Protocolo_2
4560,B,75,77,76,87780.0,D,normal,normal,Protocolo_1
4561,C,10,12,12,288.0,D,normal,normal,Protocolo_1
4562,A,50,49,52,25480.0,B,fragil,normal,Protocolo_2
4563,A,50,47,50,23500.0,A,normal,normal,Protocolo_1
4564,C,10,12,14,336.0,C,normal,normal,Protocolo_1
4565,B,75,74,72,79920.0,C,normal,normal,Protocolo_1
4566,C,10,13,8,208.0,C,fragil,normal,Protocolo_1
4567,C,10,10,11,220.0,A,fragil,normal,Protocolo_1
4568,A,50,48,51,24480.0,D,normal,normal,Protocolo_1
4569,A,50,53,51,27030.0,B,fragil,normal,Protocolo_2
4570,A,50,47,49,23030.0,C,fragil,normal,Protocolo_2
4571,B,75,70,76,79800.0,C,fragil,normal,Protocolo_2
4572,A,50,53,52,27560.0,A,normal,normal,Protocolo_1
4573,A,50,46,55,25300.0,C,normal,normal,Protocolo_1
4574,A,50,55,47,25850.0,D,fragil,normal,Protocolo_2
4575,A,50,46,45,20700.0,D,normal,refrigerado,Protocolo_1
4576,A,50,49,51,24990.0,A,fragil,refrigerado,Protocolo_1
4577,A,50,55,54,29700.0,B,normal,normal,Protocolo_1
4578,B,75,76,77,87780.0,C,fragil,normal,Protocolo_2
4579,C,10,6,15,180.0,C,normal,normal,Protocolo_1
4580,C,10,12,11,264.0,B,normal,normal,Protocolo_1
4581,C,10,12,14,336.0,C,normal,normal,Protocolo_1
4582,B,75,76,74,84360.0,C,fragil,normal,Protocolo_2
4583,B,75,75,71,79875.0,D,normal,normal,Protocolo_1
4584,B,75,79,75,88875.0,B,fragil,normal,Protocolo_2
4585,C,10,11,12,264.0,A,normal,normal,Protocolo_1
4586,A,50,52,49,25480.0,A,fragil,normal,Protocolo_2
4587,A,50,52,54,28080.0,C,fragil,normal,Protocolo_2
4588,A,50,50,50,25000.0,C,normal,normal,Protocolo_1
4589,A,50,51,54,27540.0,A,fragil,normal,Protocolo_2
4590,B,75,72,75,81000.0,C,normal,normal,Protocolo_1
4591,C,10,12,10,240.0,B,normal,refrigerado,Protocolo_1
4592,C,10,12,5,120.0,D,normal,normal,Protocolo_1
4593,B,75,70,79,82950.0,A,fragil,refrigerado,Protocolo_1
4594,B,75,71,77,82005.0,A,fragil,refrigerado,Protocolo_1
4595,C,10,15,7,210.0,A,normal,refrigerado,Protocolo_1
4596,A,50,51,54,27540.0,B,normal,normal,Protocolo_1
4597,A,50,46,54,24840.0,A,fragil,normal,Protocolo_2
4598,A,50,46,48,22080.0,C,normal,normal,Protocolo_1
4599,B,75,78,73,85410.0,D,fragil,normal,Protocolo_2
4600,A,50,47,51,23970.0,D,normal,normal,Protocolo_1
4601,A,50,53,53,28090.0,C,normal,normal,Protocolo_1
4602,B,75,80,79,94800.0,D,fragil,normal,Protocolo_2
4603,A,50,47,50,23500.0,A,normal,normal,Protocolo_1
4604,C,10,5,7,70.0,B,normal,normal,Protocolo_1
4605,B,75,70,71,74550.0,C,normal,normal,Protocolo_1
4606,A,50,54,46,24840.0,C,normal,normal,Protocolo_1
4607,C,10,13,9,234.0,A,fragil,normal,Protocolo_1
4608,C,10,14,6,168.0,A,fragil,normal,Protocolo_1
4609,C,10,8,11,176.0,C,fragil,refrigerado,Protocolo_1
4610,C,10,9,10,180.0,B,fragil,normal,Protocolo_1
4611,C,10,5,12,120.0,C,fragil,normal,Protocolo_1
4612,C,10,7,9,126.0,A,normal,normal,Protocolo_1
4613,C,10,12,10,240.0,B,fragil,normal,Protocolo_1
4614,B,75,79,75,88875.0,A,normal,refrigerado,Protocolo_1
4615,B,75,72,70,75600.0,A,normal,normal,Protocolo_1
4616,A,50,48,54,25920.0,D,normal,normal,Protocolo_1
